         373333 function calls (372713 primitive calls) in 2.489 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       38    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        1    0.000    0.000    0.000    0.000 decoder.py:345(raw_decode)
      111    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       51    0.000    0.000    0.000    0.000 {method 'rfind' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 _pslinux.py:99(IOPriority)
       99    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       35    0.000    0.000    0.000    0.000 datetime.py:247(_check_int_field)
        1    0.000    0.000    0.000    0.000 argparse.py:1734(parse_args)
        1    0.000    0.000    0.000    0.000 _pslinux.py:240(get_sector_size)
        3    0.000    0.000    0.000    0.000 argparse.py:1556(_add_action)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
       38    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       19    0.000    0.000    0.000    0.000 _pslinux.py:1275(<listcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1309(path_hook_for_FileFinder)
       82    0.000    0.000    0.000    0.000 codecs.py:330(getstate)
        1    0.000    0.000    0.000    0.000 argparse.py:1741(parse_known_args)
        1    0.000    0.000    0.000    0.000 socket.py:123(socket)
       94    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 _pslinux.py:1049(boot_time)
       19    0.000    0.000    0.000    0.000 _pslinux.py:1602(ppid)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       85    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       13    0.000    0.000    0.000    0.000 subprocess.py:711(__exit__)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       58    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        6    0.000    0.000    0.000    0.000 os.py:720(__getitem__)
        5    0.000    0.000    0.000    0.000 datetime.py:277(_check_time_fields)
        1    0.000    0.000    0.000    0.000 _common.py:117(NicDuplex)
       62    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
        3    0.000    0.000    0.000    0.000 argparse.py:1445(_get_optional_kwargs)
       52    0.000    0.000    0.000    0.000 functools.py:73(wraps)
       75    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
       76    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 datetime.py:264(_check_date_fields)
       11    0.000    0.000    0.000    0.000 subprocess.py:330(__init__)
       74    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
        1    0.000    0.000    0.000    0.000 threading.py:1188(__init__)
       10    0.000    0.000    0.000    0.000 enum.py:121(<setcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1268(_fill_cache)
       59    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       61    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
       38    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1776(_parse_known_args)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1186(__init__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:513(__neg__)
       19    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       19    0.000    0.000    0.000    0.000 tokenize.py:111(group)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
        9    0.000    0.000    0.000    0.000 enum.py:260(__getattr__)
        1    0.000    0.000    0.000    0.000 <string>:5(scputimes)
        8    0.000    0.000    0.000    0.000 sre_compile.py:391(_generate_overlap_table)
       34    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        3    0.000    0.000    0.000    0.000 _collections_abc.py:594(get)
        3    0.000    0.000    0.000    0.000 argparse.py:1365(_add_action)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
       13    0.000    0.000    0.000    0.000 subprocess.py:723(__del__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
       44    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        2    0.000    0.000    0.000    0.000 datetime.py:1030(__new__)
       11    0.000    0.000    0.000    0.000 subprocess.py:810(poll)
       10    0.000    0.000    0.000    0.000 enum.py:84(__prepare__)
